captured_at_cdt,source,market,query,top_result_name,top_result_url,top_result_class,highest_relevant_owned_result,owned_rank,portal_directory_slots_top10,wrong_market_slots_top10,notes
"2026-07-11 19:35-19:55","neutral_web_index","Maurice","best realtor Maurice LA","Zillow Maurice agent directory","https://www.zillow.com/professionals/real-estate-agent-reviews/maurice-la/","portal/directory","","","10","3","No local-owned domain appeared."
"2026-07-11 19:35-19:55","neutral_web_index","Maurice","Maurice homes for sale realtor","Realtor.com Maurice homes","https://www.realtor.com/realestateandhomes-search/Maurice_LA","portal","McGeeScott Realty","9","7","2","McGeeScott was the only relevant local-owned result."
"2026-07-11 19:35-19:55","neutral_web_index","Milton","Milton LA realtor","FastExpert Milton LA","https://www.fastexpert.com/top-real-estate-agents/milton-la/","directory/lead-gen","","","8","7","Most results resolved Milton as a person or a market outside Louisiana."
"2026-07-11 19:35-19:55","neutral_web_index","Milton","best realtor Milton LA","Zillow Milton FL agents","https://www.zillow.com/professionals/real-estate-agent-reviews/milton-fl/","wrong-market/portal","","","10","6","Florida and Ontario results displaced Louisiana."
"2026-07-11 19:35-19:55","neutral_web_index","Milton","Milton homes for sale realtor","Realtor.com Milton FL homes","https://www.realtor.com/realestateandhomes-search/Milton_FL","wrong-market/portal","","","8","10","Zero top-ten results were for Milton, Louisiana."
"2026-07-11 19:35-19:55","neutral_web_index","Maurice","houses with land Maurice LA realtor","Realtor.com Maurice land","https://www.realtor.com/realestateandhomes-search/Maurice_LA/type-land","portal","","","10","0","No local-owned result appeared despite clear rural-property intent."
"2026-07-11 19:35-19:55","neutral_web_index","Youngsville","new construction realtor Youngsville LA","Britt Mathiew Zillow profile","https://www.zillow.com/profile/britt523","portal/agent-profile","","","10","0","Jessica Broussard appeared only through a Zillow profile at rank 7."
"2026-07-11 19:35-19:55","neutral_web_index","Youngsville","sell my house Youngsville LA","HomeLight sell-house-fast Youngsville","https://www.homelight.com/youngsville-la/sell-house-fast","lead-gen","Cedar Cash Home Buyers (not a Realtor)","2","6","1","Cash buyers and market portals controlled the query; no conventional Realtor-owned result appeared."
"2026-07-11 19:35-19:55","neutral_web_index","Carencro","Carencro LA realtor","Realtor.com Carencro agents","https://www.realtor.com/realestateagents/carencro_la","portal/directory","McGeeScott Realty","8","8","0","Gleason followed McGeeScott at rank 9."
"2026-07-11 19:35-19:55","neutral_web_index","Carencro","best realtor Carencro LA","Realtor.com Carencro agents","https://www.realtor.com/realestateagents/carencro_la","portal/directory","","","10","0","The top ten consisted of portals, directories and portal profiles."
"2026-07-11 19:35-19:55","neutral_web_index","Carencro","homes for sale Carencro LA realtor","Zillow Carencro homes","https://www.zillow.com/carencro-la/","portal","","","10","0","Faceted Zillow and Realtor.com pages occupied the full top ten."
"2026-07-11 19:35-19:55","neutral_web_index","Scott","Scott LA realtor","Zillow Scott agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/scott-la/","portal/directory","","","","8","The unexpanded abbreviation caused severe person-name and national-market ambiguity."
"2026-07-11 19:35-19:55","neutral_web_index","Scott","best realtor Scott Louisiana","Zillow Scott agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/scott-la/","portal/directory","Diana Richard Compass profile","6","8","4","Directories dominated and unrelated people named Scott also surfaced."
"2026-07-11 19:35-19:55","neutral_web_index","Scott","homes for sale Scott LA realtor","Realtor.com Scott homes","https://www.realtor.com/realestateandhomes-search/Scott_LA","portal","McGeeScott Realty","10","9","0","The first relevant local-owned result was last in the top ten."
"2026-07-11 19:35-19:55","neutral_web_index","Acadiana","Acadiana realtor","REALTOR Association of Acadiana member finder","https://realtoracadiana.com/find-a-member/","association","Michael Carr","3","0","0","Alyson Finch, Angela Scott, Adrian Davis and Rayne Realty also appeared on owned sites."
"2026-07-11 19:35-19:55","neutral_web_index","Acadiana","best Acadiana realtor","REALTOR Association of Acadiana awards","https://realtoracadiana.com/awards-luncheon/","association","Angela Scott on McGeeScott","9","4","1","Association and brokerage profiles outweighed agent-owned domains."
"2026-07-11 19:35-19:55","neutral_web_index","Lafayette Parish","Lafayette Parish realtor","Mandy Luquette Realtor.com profile","https://www.realtor.com/realestateagents/5730cc0a041f5b010022ca8f","portal/agent-profile","Alyson Finch","2","5","0","Alyson occupied ranks 2 and 3 through her owned domain."
"2026-07-11 19:35-19:55","neutral_web_index","Acadiana","real estate team Acadiana","The Allanson Team About","https://allansonrealestate.com/about","team-owned","The Allanson Team","1","0","0","The AI Team and Red Star Team also appeared; exact team wording favored owned sites."
"2026-07-11 19:49-19:51","google_desktop_headless","Lafayette","Lafayette LA realtor","Realtor.com Lafayette homes","https://www.realtor.com/realestateandhomes-search/Lafayette_LA","portal","Lafayette Home Pros / Robbie Breaux","6","8","0","Visible map directions named Keaty, Robbie Breaux and Keller Williams Acadiana."
"2026-07-11 19:49-19:51","google_desktop_headless","Lafayette","best realtor Lafayette LA","Zillow Lafayette agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/lafayette-la/","portal/directory","Keaty Real Estate","4","6","0","Jessica Broussard and Sean Hettich were owned results at ranks 7 and 8; map directions named Keaty, Robbie and Brice Trahan."
"2026-07-11 19:49-19:51","google_desktop_headless","Lafayette","listing agent Lafayette LA","Zillow Lafayette agent reviews","https://www.zillow.com/professionals/real-estate-agent-reviews/lafayette-la/","portal/directory","Keaty Real Estate","3","6","0","Jessica Broussard ranked 5; visible map directions named Robbie, Keaty and Sean Hettich."
"2026-07-11 19:49-19:51","google_desktop_headless","Lafayette","first time home buyer realtor Lafayette LA","Lafayette Home Pros first-time buyers","https://www.lafayettehomepros.com/buyers/first-time-buyers/","team-owned","Lafayette Home Pros / Robbie Breaux","1","1","0","Allanson ranked 3, SoLux 4 and a McGeeScott article 5."
"2026-07-11 19:49-19:51","google_desktop_headless","Lafayette","luxury realtor Lafayette LA","The SoLux Group","https://thesoluxgroup.com/","team-owned","The SoLux Group","1","5","0","Jessica ranked 2, Gleason 3 and Robbie 8; visible map directions included Keaty, SoLux and Carrie Billeaud."
"2026-07-11 19:49-19:51","google_desktop_headless","Youngsville","Youngsville LA realtor","Realtor.com Youngsville homes","https://www.realtor.com/realestateandhomes-search/Youngsville_LA","portal","Lafayette Home Pros / Robbie Breaux","6","9","0","Visible map directions named Teal Realty, RE/MAX Acadiana Kevin Rose and ReHive."
"2026-07-11 19:49-19:51","google_desktop_headless","Scott","Scott Louisiana realtor","Realtor.com Scott homes","https://www.realtor.com/realestateandhomes-search/Scott_LA","portal","Gleason Group","6","8","0","McGeeScott About ranked 7; visible map directions named Scott Domingue and McGeeScott."
"2026-07-11 19:49-19:51","google_desktop_headless","Acadiana","Acadiana realtor","REALTOR Association of Acadiana","https://realtoracadiana.com/","association","McGeeScott Realty","4","5","0","Gleason ranked 7 and Parish Realty ranked 10."
"2026-07-11 19:49-19:51","google_desktop_headless","Lafayette Parish","Lafayette Parish realtor","Realtor.com Lafayette homes","https://www.realtor.com/realestateandhomes-search/Lafayette_LA","portal","Parish Realty Acadiana","3","6","0","Robbie ranked 5 and Keaty 8; visible map directions named Keaty, Robbie and Parish Realty."
