# EXTERNAL UNVERIFIED INPUT (third-party AI sweep, 2026-07-11). Every row is [portal-shown] or [agent-submitted],
# NOT independently verified. See reports/18_production_throughput.md for triangulation + caveats. Do NOT treat
# any figure here as marketing-safe; MLS production is private and only Carrie's own export is authoritative.
observed_at,entity,entity_type,source_class,source,calendar_period,geographic_basis,geography,metric_scope,sides_or_sales,volume_usd,all_area_12m_sales,market_history_sales,market_3yr_sales,market_share_sides_pct,market_share_volume_pct,confidence,source_url,notes
2026-07-11,Destinee Allanson team,team,authoritative_profile,NAR 30 Under 30,2025,reported_production,all_markets,team_sides,203,33000000,,,,,,moderate_high,https://www.nar.realtor/news/30-under-30/destinee-allanson,"Team figure reported separately from her 44 individual sides"
2026-07-11,Jessica Broussard,individual,verified_submission,RealTrends Verified,2024,agent_physical_location,"Youngsville, LA",residential_sides,55,25000000,,,,,,high_historical,https://www.realtrends.com/agent-profile/jessica-broussard-louisiana/,"One-year-old context; 2024 Youngsville city rank 1 by sides and volume"
2026-07-11,Robbie Breaux,individual,verified_submission,RealTrends Verified,2024,agent_physical_location,"Lafayette, LA",residential_sides,58.5,25250000,,,,,,moderate_high_historical,https://www.realtrends.com/agent-profile/robbie-breaux-louisiana/,"Indexed 2024 profile data; profile currently resolves 404"
2026-07-11,James Keaty,mixed_or_team_attribution,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,188,47470000,214,,,,,directional,https://www.homes.com/real-estate-agents/james-keaty/webpewj/,"Homes same-day cache also showed 217 deals/$55.37M; Zillow figure is team sales"
2026-07-11,Sean Hettich,individual,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,136,40410000,122,,,,,directional,https://www.homes.com/real-estate-agents/sean-hettich/h4e90w0/,"Zillow direct/cache varied from 117 to 122; period differs from calendar 2025"
2026-07-11,Stephen Hundley,individual,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,91,25780000,67,,,,,directional,https://www.homes.com/real-estate-agents/stephen-hundley/87k2hd2/,"Homes same-day cache reached 100 deals/$28.18M"
2026-07-11,Robbie Breaux,team,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,50,17660000,37,,,,,directional,https://www.homes.com/real-estate-agents/robbie-breaux/w9dg34k/,"Zillow is labeled team sales"
2026-07-11,Jessica Broussard,individual,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,34,13830000,27,,,,,directional,https://www.homes.com/real-estate-agents/jessica-broussard/jqkcjb7/,"Homes cache variants reached 40 deals/$15.76M"
2026-07-11,Nah Senpeng,team,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,50,11280000,45,,,,,directional,https://www.homes.com/real-estate-agents/nah-senpeng/e724gsm/,"Zillow is labeled team sales"
2026-07-11,Drake Abshire,individual,portal,Homes.com,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,49,12660000,,,,,,directional,https://www.homes.com/real-estate-agents/drake-abshire/lxttz8d/,"Zillow profile had no usable transaction total"
2026-07-11,Carrie Billeaud,individual,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,34,9480000,22,,,,,directional,https://www.homes.com/real-estate-agents/carrie-billeaud/pf5j8yv/,"Homes and Zillow disagree; neither is an audited ROAM total"
2026-07-11,Destinee Allanson,mixed_or_team_attribution,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,40,7240000,48,,,,,directional,https://www.homes.com/real-estate-agents/destinee-allanson/1hde875/,"Zillow is labeled team sales; NAR 2025 individual figure is the stronger comparator"
2026-07-11,Michael Carr,team,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,37,7770000,41,,,,,directional,https://www.homes.com/real-estate-agents/michael-carr/ewhbqpn/,"Zillow is labeled team sales"
2026-07-11,Alyson Finch,individual,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,23,4010000,14,,,,,directional,https://www.homes.com/real-estate-agents/alyson-finch/4nfm64l/,"Five-year profile history is concentrated in St. Martin Parish"
2026-07-11,Brice Trahan,individual,portal,Homes.com and Zillow,rolling_1_year_at_observation,profile_all_markets,all_markets,portal_attributed_deals,14,3070000,7,,,,,directional,https://www.homes.com/real-estate-agents/brice-trahan/l6l7jkg/,"Unsupported bio claims were excluded"
2026-07-11,Compass,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_or_selling_sides,933.5,338864837,,,,13.78,16.81,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold; represented-side volume can count the same property on both sides"
2026-07-11,Real Broker LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_or_selling_sides,999.5,321563051,,,,14.75,15.95,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,eXp Realty LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_or_selling_sides,1003.5,259822198,,,,14.81,12.89,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,Keller Williams Realty Acadiana,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_or_selling_sides,766,198372341,,,,11.31,9.84,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,Keaty Real Estate Team,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_or_selling_sides,433,133261137,,,,6.39,6.61,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Brokerage/team scope; not James Keaty personal production"
2026-07-11,Compass,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_sides,460.5,171046058,,,,13.60,16.97,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Listing-side table; strongest public seller-side brokerage measure"
2026-07-11,Real Broker LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_sides,522.5,168687872,,,,15.43,16.73,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Listing-side table"
2026-07-11,eXp Realty LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_sides,388.5,99653793,,,,11.47,9.89,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Listing-side table"
2026-07-11,Keller Williams Realty Acadiana,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_sides,323,79679999,,,,9.54,7.90,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Listing-side table"
2026-07-11,Keaty Real Estate Team,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Lafayette Parish,listing_sides,203,58621006,,,,5.99,5.82,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Listing-side table"
2026-07-11,Real Broker LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_region,Acadiana,listing_or_selling_sides,1599.5,454861867,,,,14.69,16.05,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,eXp Realty LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_region,Acadiana,listing_or_selling_sides,1740,400482371,,,,15.98,14.13,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,Compass,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_region,Acadiana,listing_or_selling_sides,1191,393975820,,,,10.94,13.90,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,Keller Williams Realty Acadiana,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_region,Acadiana,listing_or_selling_sides,1302.5,303542177,,,,11.96,10.71,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,Keaty Real Estate Team,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_region,Acadiana,listing_or_selling_sides,595.5,172040326,,,,5.47,6.07,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Residential sold"
2026-07-11,eXp Realty LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Vermilion Parish,listing_or_selling_sides,154,32315647,,,,17.74,17.12,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Maurice is within Vermilion Parish; not Maurice-only"
2026-07-11,Real Broker LLC,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Vermilion Parish,listing_or_selling_sides,140,30570234,,,,16.13,16.19,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Maurice is within Vermilion Parish; not Maurice-only"
2026-07-11,Keller Williams Realty Acadiana,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Vermilion Parish,listing_or_selling_sides,67,15697314,,,,7.72,8.31,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Maurice is within Vermilion Parish; not Maurice-only"
2026-07-11,Compass,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Vermilion Parish,listing_or_selling_sides,54,12669657,,,,6.22,6.71,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Maurice is within Vermilion Parish; not Maurice-only"
2026-07-11,Keaty Real Estate Team,brokerage,mls_derived_public_report,ROAM MLS market penetration report,2025,property_parish,Vermilion Parish,listing_or_selling_sides,27,8526040,,,,3.11,4.52,high_aggregate,https://www.arlaslaughter.com/12.2025%20Market%20Report.pdf,"Maurice is within Vermilion Parish; not Maurice-only"
2026-07-11,Sean Hettich,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Youngsville,market_sales_history,,,122,634,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/youngsville-la/?isSelling=true,"122 is all-market rolling 12 months; 634 is unwindowed Youngsville history"
2026-07-11,Robbie Breaux,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Youngsville,market_sales_history,,,32,226,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/youngsville-la/?isSelling=true,"Team attribution"
2026-07-11,Keaty Real Estate,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Youngsville,market_sales_history,,,213,193,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/youngsville-la/?isSelling=true,"Team attribution"
2026-07-11,Jessica Broussard,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Youngsville,market_sales,,,,,30,,,directional,https://www.fastexpert.com/top-real-estate-agents/youngsville-la/,"Opt-in/incomplete directory"
2026-07-11,Stephen Hundley,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Youngsville,market_sales,,,,,22,,,directional,https://www.fastexpert.com/top-real-estate-agents/youngsville-la/,"Opt-in/incomplete directory"
2026-07-11,Caitlin Hebert,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Youngsville,market_sales,,,,,18,,,directional,https://www.fastexpert.com/top-real-estate-agents/youngsville-la/,"Opt-in/incomplete directory"
2026-07-11,Sean Hettich,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Broussard,market_sales_history,,,123,291,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/broussard-la/,"123 is all-market rolling 12 months; 291 is unwindowed Broussard history"
2026-07-11,Robbie Breaux,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Broussard,market_sales_history,,,33,169,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/broussard-la/,"Team attribution"
2026-07-11,Wendy McCombie,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Broussard,market_sales_history,,,22,130,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/broussard-la/,"Market count has no disclosed period"
2026-07-11,Nah Senpeng,individual_or_team,directory,FastExpert,trailing_3_years,property_market_3yr,Broussard,market_sales,,,,,13,,,directional,https://www.fastexpert.com/top-real-estate-agents/broussard-la/,"Opt-in/incomplete directory"
2026-07-11,Jessica Broussard,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Broussard,market_sales,,,,,12,,,directional,https://www.fastexpert.com/top-real-estate-agents/broussard-la/,"Opt-in/incomplete directory"
2026-07-11,Stephen Hundley,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Broussard,market_sales,,,,,10,,,directional,https://www.fastexpert.com/top-real-estate-agents/broussard-la/,"Opt-in/incomplete directory"
2026-07-11,Sean Hettich,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Maurice,market_sales_history,,,121,293,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/maurice-la/,"121 is all-market rolling 12 months; 293 is unwindowed Maurice history"
2026-07-11,Steven Desormeaux,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Maurice,market_sales_history,,,51,28,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/maurice-la/,"Team attribution"
2026-07-11,David Wenger,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Maurice,market_sales_history,,,205,20,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/maurice-la/,"Team attribution"
2026-07-11,Sean Hettich,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Maurice,market_sales,,,,,145,,,low_directional,https://www.fastexpert.com/top-real-estate-agents/maurice-la/,"Older crawler snapshot; do not merge with Zillow history"
2026-07-11,Robbie Breaux,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Scott,market_sales_history,,,32,29,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/scott-la/,"Team attribution"
2026-07-11,Diana Richard,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Scott,market_sales_history,,,0,27,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/scott-la/,"Zero in rolling 12 months proves market history is not a 12-month value"
2026-07-11,Sean Hettich,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Scott,market_sales_history,,,124,19,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/scott-la/,"Market count has no disclosed period"
2026-07-11,Destinee Allanson,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Scott,market_sales,,,,,6,,,directional,https://www.fastexpert.com/top-real-estate-agents/scott-la/,"Opt-in/incomplete directory"
2026-07-11,Jason Ray,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Scott,market_sales,,,,,6,,,directional,https://www.fastexpert.com/top-real-estate-agents/scott-la/,"Opt-in/incomplete directory"
2026-07-11,Stacy Folse,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Scott,market_sales,,,,,5,,,directional,https://www.fastexpert.com/top-real-estate-agents/scott-la/,"Opt-in/incomplete directory"
2026-07-11,Lana Soileau,team,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Carencro,market_sales_history,,,148,38,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/carencro-la/,"Current indexed directory exposed only two complete rows"
2026-07-11,Charles Ilonya,individual,portal,Zillow,not_disclosed_for_market_history,portal_market_history,Carencro,market_sales_history,,,8,22,,,,directional,https://www.zillow.com/professionals/real-estate-agent-reviews/carencro-la/,"Current indexed directory exposed only two complete rows"
2026-07-11,Destinee Allanson,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Carencro,market_sales,,,,,8,,,directional,https://www.fastexpert.com/top-real-estate-agents/carencro-la/,"Opt-in/incomplete directory"
2026-07-11,Stacy Folse,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Carencro,market_sales,,,,,7,,,directional,https://www.fastexpert.com/top-real-estate-agents/carencro-la/,"Opt-in/incomplete directory"
2026-07-11,Kenni Delahoussaye,individual,directory,FastExpert,trailing_3_years,property_market_3yr,Carencro,market_sales,,,,,5,,,directional,https://www.fastexpert.com/top-real-estate-agents/carencro-la/,"Opt-in/incomplete directory"
2026-07-11,Saun Sullivan,builder_affiliated_individual,portal,Homes.com,not_disclosed,portal_market_history,Milton,portal_total_and_market_history,12731,,,134,,,,directional,https://www.homes.com/real-estate-agents/milton-la/,"DSLD Homes representative; separate from conventional resale agents; Milton boundary is broad"
2026-07-11,Tassie Fonseca,builder_affiliated_individual,portal,Homes.com,not_disclosed,portal_market_history,Milton,portal_total_and_market_history,902,,,25,,,,directional,https://www.homes.com/real-estate-agents/milton-la/,"Manuel Builders affiliation; separate new-construction category"
2026-07-11,Sean Hettich,individual,portal,Homes.com,not_disclosed,portal_market_history,Milton,portal_total_and_market_history,587,,,13,,,,directional,https://www.homes.com/real-estate-agents/milton-la/,"Market count has no period; Milton boundary includes non-Milton addresses"
2026-07-11,Marie Walther,individual,portal,Homes.com,not_disclosed,portal_market_history,Milton,portal_total_and_market_history,89,,,10,,,,directional,https://www.homes.com/real-estate-agents/milton-la/,"Market count has no period"
2026-07-11,Carrie Billeaud,individual,portal,Homes.com,not_disclosed,portal_market_history,Milton,portal_total_and_market_history,174,,,9,,,,directional,https://www.homes.com/real-estate-agents/milton-la/,"Carrie is visible in Milton history; not a current-year closing count"
2026-07-11,Stephen Hundley,individual,portal,Homes.com,not_disclosed,portal_market_history,Milton,portal_total_and_market_history,268,,,7,,,,directional,https://www.homes.com/real-estate-agents/milton-la/,"Market count has no period"
